SEAM slot,SEAM pin,Signal ID,Pigtail slot,Pigtail pin,GBTx ID,Conn to PT,DCB slot,DCB pin,Conn to other DCBs
2,A6,1.5V,,,,False,,,False
2,A9,1.5V,,,,False,,,False
2,A10,1.5V,,,,False,,,False
2,A13,1.5V,,,,False,,,False
2,A14,1.5V,,,,False,,,False
2,A17,1.5V,,,,False,,,False
2,A18,1.5V,,,,False,,,False
2,A21,1.5V,,,,False,,,False
2,A22,1.5V,,,,False,,,False
2,A25,1.5V,,,,False,,,False
2,A26,1.5V,,,,False,,,False
2,A29,1.5V,,,,False,,,False
2,A30,1.5V,,,,False,,,False
2,A33,1.5V,,,,False,,,False
2,A34,1.5V,,,,False,,,False
2,A37,1.5V,,,,False,,,False
2,A38,1.5V,,,,False,,,False
2,A41,1.5V,,,,False,,,False
2,A42,1.5V,,,,False,,,False
2,A45,1.5V,,,,False,,,False
2,A46,1.5V,,,,False,,,False
2,A49,1.5V,,,,False,,,False
2,A50,1.5V,,,,False,,,False
2,C50,1V5_SENSE_NEG,,,,False,,,False
2,C49,1V5_SENSE_POS,,,,False,,,False
2,G1,2.5V,,,,False,,,False
2,G2,2.5V,,,,False,,,False
2,G5,2.5V,,,,False,,,False
2,G6,2.5V,,,,False,,,False
2,G9,2.5V,,,,False,,,False
2,G10,2.5V,,,,False,,,False
2,G13,2.5V,,,,False,,,False
2,G14,2.5V,,,,False,,,False
2,G17,2.5V,,,,False,,,False
2,G18,2.5V,,,,False,,,False
2,G21,2.5V,,,,False,,,False
2,G22,2.5V,,,,False,,,False
2,G25,2.5V,,,,False,,,False
2,G26,2.5V,,,,False,,,False
2,G29,2.5V,,,,False,,,False
2,G30,2.5V,,,,False,,,False
2,G33,2.5V,,,,False,,,False
2,G34,2.5V,,,,False,,,False
2,G37,2.5V,,,,False,,,False
2,G38,2.5V,,,,False,,,False
2,G41,2.5V,,,,False,,,False
2,G42,2.5V,,,,False,,,False
2,G45,2.5V,,,,False,,,False
2,G46,2.5V,,,,False,,,False
2,G49,2.5V,,,,False,,,False
2,G50,2.5V,,,,False,,,False
2,H39,AGND,,,,False,,,False
2,H40,AGND,,,,False,,,False
2,E2,B1,,,,False,,,False
2,E50,B3,,,,False,,,False
2,G35,DC_OUT_RCLK0_N,,,,False,,,False
2,G36,DC_OUT_RCLK0_P,,,,False,,,False
2,G39,DC_OUT_RCLK1_N,1,C40,None,True,,,False
2,G40,DC_OUT_RCLK1_P,1,C39,None,True,,,False
2,G43,DC_OUT_RCLK2_N,,,,False,,,False
2,G44,DC_OUT_RCLK2_P,,,,False,,,False
2,G47,DC_OUT_RCLK3_N,1,H13,None,True,,,False
2,G48,DC_OUT_RCLK3_P,1,G13,None,True,,,False
2,G27,DC_OUT_RCLK4_N,,,,False,,,False
2,G28,DC_OUT_RCLK4_P,,,,False,,,False
2,G31,DC_OUT_RCLK5_N,0,H13,None,True,,,False
2,G32,DC_OUT_RCLK5_P,0,G13,None,True,,,False
2,A43,DC0_ELK_CH0_N,,,,False,,,False
2,A44,DC0_ELK_CH0_P,,,,False,,,False
2,A47,DC0_ELK_CH1_N,,,,False,,,False
2,A48,DC0_ELK_CH1_P,,,,False,,,False
2,F45,DC0_ELK_CH10_N,0,I14,02 - 1,True,,,False
2,F46,DC0_ELK_CH10_P,0,J14,02 - 1,True,,,False
2,F49,DC0_ELK_CH11_N,0,I13,02 - 1,True,,,False
2,F50,DC0_ELK_CH11_P,0,J13,02 - 1,True,,,False
2,B45,DC0_ELK_CH2_N,,,,False,,,False
2,B46,DC0_ELK_CH2_P,,,,False,,,False
2,B49,DC0_ELK_CH3_N,0,J17,02 - 1,True,,,False
2,B50,DC0_ELK_CH3_P,0,I17,02 - 1,True,,,False
2,C43,DC0_ELK_CH4_N,0,H17,02 - 1,True,,,False
2,C44,DC0_ELK_CH4_P,0,G17,02 - 1,True,,,False
2,C47,DC0_ELK_CH5_N,0,H15,02 - 1,True,,,False
2,C48,DC0_ELK_CH5_P,0,G15,02 - 1,True,,,False
2,D45,DC0_ELK_CH6_N,0,H12,02 - 1,True,,,False
2,D46,DC0_ELK_CH6_P,0,G12,02 - 1,True,,,False
2,D49,DC0_ELK_CH7_N,,,,False,,,False
2,D50,DC0_ELK_CH7_P,,,,False,,,False
2,E43,DC0_ELK_CH8_N,0,J15,02 - 1,True,,,False
2,E44,DC0_ELK_CH8_P,0,I15,02 - 1,True,,,False
2,E47,DC0_ELK_CH9_N,0,H14,02 - 1,True,,,False
2,E48,DC0_ELK_CH9_P,0,G14,02 - 1,True,,,False
2,A35,DC1_ELK_CH0_N,,,,False,,,False
2,A36,DC1_ELK_CH0_P,,,,False,,,False
2,A39,DC1_ELK_CH1_N,,,,False,,,False
2,A40,DC1_ELK_CH1_P,,,,False,,,False
2,F37,DC1_ELK_CH10_N,1,H03,02 - 2,True,,,False
2,F38,DC1_ELK_CH10_P,1,H04,02 - 2,True,,,False
2,F41,DC1_ELK_CH11_N,1,J06,02 - 2,True,,,False
2,F42,DC1_ELK_CH11_P,1,I06,02 - 2,True,,,False
2,B37,DC1_ELK_CH2_N,1,F01,02 - 2,True,,,False
2,B38,DC1_ELK_CH2_P,1,F02,02 - 2,True,,,False
2,B41,DC1_ELK_CH3_N,1,G01,02 - 2,True,,,False
2,B42,DC1_ELK_CH3_P,1,G02,02 - 2,True,,,False
2,C35,DC1_ELK_CH4_N,1,J01,02 - 2,True,,,False
2,C36,DC1_ELK_CH4_P,1,I01,02 - 2,True,,,False
2,C39,DC1_ELK_CH5_N,1,H02,02 - 2,True,,,False
2,C40,DC1_ELK_CH5_P,1,H01,02 - 2,True,,,False
2,D37,DC1_ELK_CH6_N,1,G04,02 - 2,True,,,False
2,D38,DC1_ELK_CH6_P,1,G03,02 - 2,True,,,False
2,D41,DC1_ELK_CH7_N,1,F03,02 - 2,True,,,False
2,D42,DC1_ELK_CH7_P,1,F04,02 - 2,True,,,False
2,E35,DC1_ELK_CH8_N,1,I02,02 - 2,True,,,False
2,E36,DC1_ELK_CH8_P,1,J02,02 - 2,True,,,False
2,E39,DC1_ELK_CH9_N,1,I05,02 - 2,True,,,False
2,E40,DC1_ELK_CH9_P,1,J05,02 - 2,True,,,False
2,A27,DC2_ELK_CH0_N,,,,False,,,False
2,A28,DC2_ELK_CH0_P,,,,False,,,False
2,A31,DC2_ELK_CH1_N,,,,False,,,False
2,A32,DC2_ELK_CH1_P,,,,False,,,False
2,F29,DC2_ELK_CH10_N,1,I14,02 - 3,True,,,False
2,F30,DC2_ELK_CH10_P,1,J14,02 - 3,True,,,False
2,F33,DC2_ELK_CH11_N,1,I13,02 - 3,True,,,False
2,F34,DC2_ELK_CH11_P,1,J13,02 - 3,True,,,False
2,B29,DC2_ELK_CH2_N,1,H16,02 - 3,True,,,False
2,B30,DC2_ELK_CH2_P,1,G16,02 - 3,True,,,False
2,B33,DC2_ELK_CH3_N,1,J17,02 - 3,True,,,False
2,B34,DC2_ELK_CH3_P,1,I17,02 - 3,True,,,False
2,C27,DC2_ELK_CH4_N,1,H17,02 - 3,True,,,False
2,C28,DC2_ELK_CH4_P,1,G17,02 - 3,True,,,False
2,C31,DC2_ELK_CH5_N,1,H15,02 - 3,True,,,False
2,C32,DC2_ELK_CH5_P,1,G15,02 - 3,True,,,False
2,D29,DC2_ELK_CH6_N,1,H12,02 - 3,True,,,False
2,D30,DC2_ELK_CH6_P,1,G12,02 - 3,True,,,False
2,D33,DC2_ELK_CH7_N,1,J16,02 - 3,True,,,False
2,D34,DC2_ELK_CH7_P,1,I16,02 - 3,True,,,False
2,E27,DC2_ELK_CH8_N,1,J15,02 - 3,True,,,False
2,E28,DC2_ELK_CH8_P,1,I15,02 - 3,True,,,False
2,E31,DC2_ELK_CH9_N,1,H14,02 - 3,True,,,False
2,E32,DC2_ELK_CH9_P,1,G14,02 - 3,True,,,False
2,A19,DC3_ELK_CH0_N,,,,False,,,False
2,A20,DC3_ELK_CH0_P,,,,False,,,False
2,A23,DC3_ELK_CH1_N,,,,False,,,False
2,A24,DC3_ELK_CH1_P,,,,False,,,False
2,F21,DC3_ELK_CH10_N,1,G38,02 - 4,True,,,False
2,F22,DC3_ELK_CH10_P,1,H38,02 - 4,True,,,False
2,F25,DC3_ELK_CH11_N,1,J37,02 - 4,True,,,False
2,F26,DC3_ELK_CH11_P,1,I37,02 - 4,True,,,False
2,B21,DC3_ELK_CH2_N,,,,False,,,False
2,B22,DC3_ELK_CH2_P,,,,False,,,False
2,B25,DC3_ELK_CH3_N,1,J39,02 - 4,True,,,False
2,B26,DC3_ELK_CH3_P,1,I39,02 - 4,True,,,False
2,C19,DC3_ELK_CH4_N,1,F37,02 - 4,True,,,False
2,C20,DC3_ELK_CH4_P,1,F38,02 - 4,True,,,False
2,C23,DC3_ELK_CH5_N,1,H40,02 - 4,True,,,False
2,C24,DC3_ELK_CH5_P,1,G40,02 - 4,True,,,False
2,D21,DC3_ELK_CH6_N,1,J40,02 - 4,True,,,False
2,D22,DC3_ELK_CH6_P,1,I40,02 - 4,True,,,False
2,D25,DC3_ELK_CH7_N,,,,False,,,False
2,D26,DC3_ELK_CH7_P,,,,False,,,False
2,E19,DC3_ELK_CH8_N,1,J38,02 - 4,True,,,False
2,E20,DC3_ELK_CH8_P,1,I38,02 - 4,True,,,False
2,E23,DC3_ELK_CH9_N,1,G37,02 - 4,True,,,False
2,E24,DC3_ELK_CH9_P,1,H37,02 - 4,True,,,False
2,A11,DC4_ELK_CH0_N,,,,False,,,False
2,A12,DC4_ELK_CH0_P,,,,False,,,False
2,A15,DC4_ELK_CH1_N,,,,False,,,False
2,A16,DC4_ELK_CH1_P,,,,False,,,False
2,F13,DC4_ELK_CH10_N,1,A38,02 - 5,True,,,False
2,F14,DC4_ELK_CH10_P,1,A37,02 - 5,True,,,False
2,F17,DC4_ELK_CH11_N,1,A40,02 - 5,True,,,False
2,F18,DC4_ELK_CH11_P,1,A39,02 - 5,True,,,False
2,B13,DC4_ELK_CH2_N,,,,False,,,False
2,B14,DC4_ELK_CH2_P,,,,False,,,False
2,B17,DC4_ELK_CH3_N,1,C38,02 - 5,True,,,False
2,B18,DC4_ELK_CH3_P,1,C37,02 - 5,True,,,False
2,C11,DC4_ELK_CH4_N,1,E38,02 - 5,True,,,False
2,C12,DC4_ELK_CH4_P,1,E37,02 - 5,True,,,False
2,C15,DC4_ELK_CH5_N,1,D38,02 - 5,True,,,False
2,C16,DC4_ELK_CH5_P,1,D37,02 - 5,True,,,False
2,D13,DC4_ELK_CH6_N,1,D40,02 - 5,True,,,False
2,D14,DC4_ELK_CH6_P,1,D39,02 - 5,True,,,False
2,D17,DC4_ELK_CH7_N,,,,False,,,False
2,D18,DC4_ELK_CH7_P,,,,False,,,False
2,E11,DC4_ELK_CH8_N,1,D36,02 - 5,True,,,False
2,E12,DC4_ELK_CH8_P,1,C36,02 - 5,True,,,False
2,E15,DC4_ELK_CH9_N,1,B38,02 - 5,True,,,False
2,E16,DC4_ELK_CH9_P,1,B37,02 - 5,True,,,False
2,A3,DC5_ELK_CH0_N,,,,False,,,False
2,A4,DC5_ELK_CH0_P,,,,False,,,False
2,A7,DC5_ELK_CH1_N,,,,False,,,False
2,A8,DC5_ELK_CH1_P,,,,False,,,False
2,F5,DC5_ELK_CH10_N,0,H03,02 - 6,True,,,False
2,F6,DC5_ELK_CH10_P,0,H04,02 - 6,True,,,False
2,F9,DC5_ELK_CH11_N,0,J06,02 - 6,True,,,False
2,F10,DC5_ELK_CH11_P,0,I06,02 - 6,True,,,False
2,B5,DC5_ELK_CH2_N,,,,False,,,False
2,B6,DC5_ELK_CH2_P,,,,False,,,False
2,B9,DC5_ELK_CH3_N,0,G01,02 - 6,True,,,False
2,B10,DC5_ELK_CH3_P,0,G02,02 - 6,True,,,False
2,C3,DC5_ELK_CH4_N,0,J01,02 - 6,True,,,False
2,C4,DC5_ELK_CH4_P,0,I01,02 - 6,True,,,False
2,C7,DC5_ELK_CH5_N,0,H02,02 - 6,True,,,False
2,C8,DC5_ELK_CH5_P,0,H01,02 - 6,True,,,False
2,D5,DC5_ELK_CH6_N,0,G04,02 - 6,True,,,False
2,D6,DC5_ELK_CH6_P,0,G03,02 - 6,True,,,False
2,D9,DC5_ELK_CH7_N,,,,False,,,False
2,D10,DC5_ELK_CH7_P,,,,False,,,False
2,E3,DC5_ELK_CH8_N,0,I02,02 - 6,True,,,False
2,E4,DC5_ELK_CH8_P,0,J02,02 - 6,True,,,False
2,E7,DC5_ELK_CH9_N,0,I05,02 - 6,True,,,False
2,E8,DC5_ELK_CH9_P,0,J05,02 - 6,True,,,False
2,H37,EC_ADC_2,,,,False,,,False
2,H38,EC_ADC_3,1,B39,None,True,,,False
2,H41,EC_ADC_4,,,,False,,,False
2,H42,EC_ADC_5,1,J12,None,True,,,False
2,H45,EC_ADC_6,,,,False,,,False
2,H46,EC_ADC_7,0,J12,None,True,,,False
2,D1,EC_ADC_REF13,,,,False,,,False
2,D2,EC_ADC_REF14,,,,False,,,False
2,E1,EC_ADC_REF15,,,,False,,,False
2,H9,EC_HYB_i2C_SCL_0,,,,False,,,False
2,H13,EC_HYB_i2C_SCL_1,1,G33,None,True,,,False
2,H17,EC_HYB_i2C_SCL_2,,,,False,,,False
2,H21,EC_HYB_i2C_SCL_3,1,H08,None,True,,,False
2,H25,EC_HYB_i2C_SCL_4,,,,False,,,False
2,H49,EC_HYB_i2C_SCL_5,0,H08,None,True,,,False
2,H10,EC_HYB_i2C_SDA_0,,,,False,,,False
2,H14,EC_HYB_i2C_SDA_1,1,F34,None,True,,,False
2,H18,EC_HYB_i2C_SDA_2,,,,False,,,False
2,H22,EC_HYB_i2C_SDA_3,1,I09,None,True,,,False
2,H26,EC_HYB_i2C_SDA_4,,,,False,,,False
2,H50,EC_HYB_i2C_SDA_5,0,I09,None,True,,,False
2,C1,EC_RESET_GPIO_0,,,,False,,,False
2,H27,EC_RESET_GPIO_1,1,F39,None,True,,,False
2,H11,EC_RESET_GPIO_2,,,,False,,,False
2,H15,EC_RESET_GPIO_3,1,I03,None,True,,,False
2,H19,EC_RESET_GPIO_4,,,,False,,,False
2,H23,EC_RESET_GPIO_5,0,I03,None,True,,,False
2,G23,EC_SEC_CLK_ELK_N,,,,False,3,G19,True
2,G24,EC_SEC_CLK_ELK_P,,,,False,3,G20,True
2,G15,EC_SEC_DIN_ELK_N,,,,False,3,G11,True
2,G16,EC_SEC_DIN_ELK_P,,,,False,3,G12,True
2,G7,EC_SEC_DOUT_ELK_N,,,,False,3,G3,True
2,G8,EC_SEC_DOUT_ELK_P,,,,False,3,G4,True
2,C2,GND,,,,False,,,False
2,E49,GND,,,,False,,,False
2,H3,GND,,,,False,,,False
2,H4,GND,,,,False,,,False
2,H7,GND,,,,False,,,False
2,H8,GND,,,,False,,,False
2,H12,GND,,,,False,,,False
2,H16,GND,,,,False,,,False
2,H20,GND,,,,False,,,False
2,H24,GND,,,,False,,,False
2,B3,GND,,,,False,,,False
2,B4,GND,,,,False,,,False
2,B7,GND,,,,False,,,False
2,B8,GND,,,,False,,,False
2,B11,GND,,,,False,,,False
2,B12,GND,,,,False,,,False
2,B15,GND,,,,False,,,False
2,B16,GND,,,,False,,,False
2,B19,GND,,,,False,,,False
2,B20,GND,,,,False,,,False
2,B23,GND,,,,False,,,False
2,B24,GND,,,,False,,,False
2,B27,GND,,,,False,,,False
2,B28,GND,,,,False,,,False
2,B31,GND,,,,False,,,False
2,B32,GND,,,,False,,,False
2,B35,GND,,,,False,,,False
2,B36,GND,,,,False,,,False
2,B39,GND,,,,False,,,False
2,B40,GND,,,,False,,,False
2,B43,GND,,,,False,,,False
2,B44,GND,,,,False,,,False
2,B47,GND,,,,False,,,False
2,B48,GND,,,,False,,,False
2,C5,GND,,,,False,,,False
2,C6,GND,,,,False,,,False
2,C9,GND,,,,False,,,False
2,C10,GND,,,,False,,,False
2,C13,GND,,,,False,,,False
2,C14,GND,,,,False,,,False
2,C17,GND,,,,False,,,False
2,C18,GND,,,,False,,,False
2,C21,GND,,,,False,,,False
2,C22,GND,,,,False,,,False
2,C25,GND,,,,False,,,False
2,C26,GND,,,,False,,,False
2,C29,GND,,,,False,,,False
2,C30,GND,,,,False,,,False
2,C33,GND,,,,False,,,False
2,C34,GND,,,,False,,,False
2,C37,GND,,,,False,,,False
2,C38,GND,,,,False,,,False
2,C41,GND,,,,False,,,False
2,C42,GND,,,,False,,,False
2,C45,GND,,,,False,,,False
2,C46,GND,,,,False,,,False
2,D3,GND,,,,False,,,False
2,D4,GND,,,,False,,,False
2,D7,GND,,,,False,,,False
2,D8,GND,,,,False,,,False
2,D11,GND,,,,False,,,False
2,D12,GND,,,,False,,,False
2,D15,GND,,,,False,,,False
2,D16,GND,,,,False,,,False
2,D19,GND,,,,False,,,False
2,D20,GND,,,,False,,,False
2,D23,GND,,,,False,,,False
2,D24,GND,,,,False,,,False
2,D27,GND,,,,False,,,False
2,D28,GND,,,,False,,,False
2,D31,GND,,,,False,,,False
2,D32,GND,,,,False,,,False
2,D35,GND,,,,False,,,False
2,D36,GND,,,,False,,,False
2,D39,GND,,,,False,,,False
2,D40,GND,,,,False,,,False
2,D43,GND,,,,False,,,False
2,D44,GND,,,,False,,,False
2,D47,GND,,,,False,,,False
2,D48,GND,,,,False,,,False
2,E5,GND,,,,False,,,False
2,E6,GND,,,,False,,,False
2,E9,GND,,,,False,,,False
2,E10,GND,,,,False,,,False
2,E13,GND,,,,False,,,False
2,E14,GND,,,,False,,,False
2,E17,GND,,,,False,,,False
2,E18,GND,,,,False,,,False
2,E21,GND,,,,False,,,False
2,E22,GND,,,,False,,,False
2,E25,GND,,,,False,,,False
2,E26,GND,,,,False,,,False
2,E29,GND,,,,False,,,False
2,E30,GND,,,,False,,,False
2,E33,GND,,,,False,,,False
2,E34,GND,,,,False,,,False
2,E37,GND,,,,False,,,False
2,E38,GND,,,,False,,,False
2,E41,GND,,,,False,,,False
2,E42,GND,,,,False,,,False
2,E45,GND,,,,False,,,False
2,E46,GND,,,,False,,,False
2,F3,GND,,,,False,,,False
2,F4,GND,,,,False,,,False
2,F7,GND,,,,False,,,False
2,F8,GND,,,,False,,,False
2,F11,GND,,,,False,,,False
2,F12,GND,,,,False,,,False
2,F15,GND,,,,False,,,False
2,F16,GND,,,,False,,,False
2,F19,GND,,,,False,,,False
2,F20,GND,,,,False,,,False
2,F23,GND,,,,False,,,False
2,F24,GND,,,,False,,,False
2,F27,GND,,,,False,,,False
2,F28,GND,,,,False,,,False
2,F31,GND,,,,False,,,False
2,F32,GND,,,,False,,,False
2,F35,GND,,,,False,,,False
2,F36,GND,,,,False,,,False
2,F39,GND,,,,False,,,False
2,F40,GND,,,,False,,,False
2,F43,GND,,,,False,,,False
2,F44,GND,,,,False,,,False
2,F47,GND,,,,False,,,False
2,F48,GND,,,,False,,,False
2,H28,GND,,,,False,,,False
2,H31,GND,,,,False,,,False
2,H32,GND,,,,False,,,False
2,H35,GND,,,,False,,,False
2,H36,GND,,,,False,,,False
2,H43,GND,,,,False,,,False
2,H44,GND,,,,False,,,False
2,H47,GND,,,,False,,,False
2,H48,GND,,,,False,,,False
2,G19,MC_SEC_CLK_ELK_N,,,,False,3,G23,True
2,G20,MC_SEC_CLK_ELK_P,,,,False,3,G24,True
2,G11,MC_SEC_DIN_ELK_N,,,,False,3,G15,True
2,G12,MC_SEC_DIN_ELK_P,,,,False,3,G16,True
2,G3,MC_SEC_DOUT_ELK_N,,,,False,3,G7,True
2,G4,MC_SEC_DOUT_ELK_P,,,,False,3,G8,True
2,B1,MC_TFC0_N,,,,False,,,False
2,B2,MC_TFC0_P,,,,False,,,False
2,F1,MC_TFC1_N,1,G39,None,True,,,False
2,F2,MC_TFC1_P,1,H39,None,True,,,False
2,H1,MC_TFC2_N,,,,False,,,False
2,H2,MC_TFC2_P,,,,False,,,False
2,H5,MC_TFC3_N,1,I04,None,True,,,False
2,H6,MC_TFC3_P,1,J04,None,True,,,False
2,H29,MC_TFC4_N,,,,False,,,False
2,H30,MC_TFC4_P,,,,False,,,False
2,H33,MC_TFC5_N,0,I04,None,True,,,False
2,H34,MC_TFC5_P,0,J04,None,True,,,False
4,A1,1.5V,,,,False,,,False
4,A2,1.5V,,,,False,,,False
4,A5,1.5V,,,,False,,,False
4,A6,1.5V,,,,False,,,False
4,A9,1.5V,,,,False,,,False
4,A10,1.5V,,,,False,,,False
4,A13,1.5V,,,,False,,,False
4,A14,1.5V,,,,False,,,False
4,A17,1.5V,,,,False,,,False
4,A18,1.5V,,,,False,,,False
4,A21,1.5V,,,,False,,,False
4,A22,1.5V,,,,False,,,False
4,A25,1.5V,,,,False,,,False
